iter	Passed	Remaining
156	856	4596
157	864	4607
158	867	4588
159	870	4571
160	872	4546
161	881	4561
162	884	4542
163	887	4522
164	893	4522
165	895	4498
166	897	4476
167	899	4456
168	903	4440
169	908	4438
170	911	4418
171	913	4397
172	915	4376
173	917	4356
174	926	4366
175	929	4349
176	931	4331
177	933	4311
178	939	4308
179	942	4291
180	944	4273
181	947	4256
182	948	4236
183	954	4234
184	957	4216
185	959	4197
186	964	4191
187	969	4188
188	972	4171
189	974	4153
190	976	4135
191	978	4117
192	984	4118
193	987	4100
194	989	4083
195	991	4065
196	993	4048
197	995	4032
198	1006	4049
199	1011	4044
200	1018	4047
201	1020	4029
202	1022	4012
203	1023	3995
204	1025	3977
205	1027	3960
206	1032	3957
207	1035	3941
208	1036	3924
209	1038	3908
210	1040	3892
211	1042	3875
212	1050	3880
213	1052	3864
214	1054	3848
215	1055	3832
216	1057	3816
217	1063	3813
218	1065	3798
219	1067	3783
220	1069	3769
221	1071	3754
222	1073	3739
223	1078	3734
224	1080	3720
225	1082	3705
226	1084	3691
227	1085	3676
228	1088	3664
229	1093	3660
230	1095	3647
231	1098	3635
232	1100	3621
233	1103	3613
234	1110	3615
235	1112	3601
236	1114	3588
237	1116	3573
238	1117	3559
239	1119	3545
240	1121	3532
241	1123	3519
242	1125	3506
243	1126	3491
244	1130	3485
245	1132	3471
246	1134	3458
247	1135	3444
248	1137	3430
249	1138	3416
250	1140	3403
251	1146	3402
252	1148	3390
253	1150	3377
254	1152	3365
255	1153	3353
256	1165	3368
257	1166	3355
258	1168	3343
259	1170	3330
260	1171	3317
261	1176	3314
262	1178	3302
263	1180	3290
264	1181	3277
265	1183	3265
266	1185	3254
267	1187	3242
268	1198	3257
269	1200	3246
270	1203	3236
271	1208	3233
272	1210	3222
273	1211	3210
274	1213	3198
275	1215	3187
276	1216	3175
277	1218	3164
278	1225	3166
279	1227	3155
280	1228	3143
281	1230	3132
282	1231	3121
283	1234	3111
284	1239	3109
285	1241	3099
286	1243	3089
287	1245	3079
288	1248	3070
289	1249	3059
290	1253	3054
291	1255	3043
292	1256	3032
293	1258	3021
294	1259	3011
295	1261	3000
296	1262	2989
297	1265	2980
298	1270	2977
299	1271	2967
300	1274	2958
301	1276	2949
302	1277	2939
303	1279	2928
304	1280	2918
305	1284	2913
306	1286	2903
307	1288	2894
308	1290	2886
309	1292	2877
310	1294	2868
311	1299	2865
312	1301	2856
313	1303	2847
314	1305	2838
315	1307	2829
316	1310	2823
317	1316	2822
318	1318	2814
319	1320	2805
320	1323	2799
321	1325	2791
322	1331	2790
323	1333	2782
324	1335	2773
325	1337	2765
326	1339	2756
327	1341	2748
328	1345	2745
329	1350	2741
330	1353	2734
331	1355	2727
332	1357	2719
333	1363	2718
334	1365	2710
335	1367	2701
336	1369	2693
337	1370	2684
338	1372	2676
339	1378	2675
340	1379	2666
341	1381	2658
342	1383	2650
343	1385	2642
344	1387	2634
345	1418	2681
346	1420	2673
347	1426	2673
348	1428	2665
349	1431	2658
350	1433	2650
351	1435	2642
352	1440	2639
353	1442	2631
354	1444	2623
355	1446	2615
356	1448	2608
357	1450	2600
358	1452	2592
359	1461	2599
360	1464	2593
361	1467	2585
362	1472	2584
363	1476	2579
364	1479	2573
365	1481	2566
366	1483	2558
367	1487	2554
368	1490	2548
369	1492	2540
370	1494	2533
371	1498	2529
372	1500	2522
373	1503	2516
374	1505	2508
375	1512	2510
376	1514	2502
377	1516	2495
378	1518	2488
379	1520	2480
380	1525	2478
381	1527	2471
382	1529	2464
383	1531	2456
384	1533	2449
385	1535	2442
386	1543	2445
387	1545	2437
388	1547	2430
389	1549	2423
390	1551	2416
391	1557	2415
392	1559	2408
393	1561	2401
394	1563	2395
395	1565	2388
396	1570	2385
397	1573	2379
398	1575	2372
399	1598	2398
400	1606	2399
401	1608	2393
402	1619	2398
403	1621	2391
404	1623	2384
405	1625	2377
406	1627	2370
407	1629	2364
408	1636	2364
409	1638	2357
410	1640	2350
411	1642	2343
412	1644	2337
413	1646	2330
414	1648	2323
415	1650	2316
416	1652	2310
417	1657	2307
418	1659	2301
419	1661	2294
420	1663	2287
421	1667	2283
422	1673	2282
423	1675	2276
424	1677	2269
425	1683	2268
426	1689	2267
427	1691	2261
428	1694	2255
429	1696	2248
430	1698	2242
431	1703	2239
432	1705	2233
433	1708	2227
434	1710	2221
435	1711	2214
436	1713	2208
437	1720	2207
438	1722	2200
439	1724	2195
440	1727	2189
441	1729	2183
442	1735	2182
443	1739	2177
444	1741	2172
445	1743	2165
446	1744	2158
447	1749	2155
448	1751	2148
449	1752	2142
450	1754	2135
451	1755	2128
452	1757	2122
453	1759	2115
454	1760	2109
455	1766	2107
456	1768	2100
457	1770	2094
458	1771	2088
459	1773	2081
460	1774	2075
461	1776	2068
462	1781	2066
463	1783	2060
464	1785	2054
465	1787	2048
466	1789	2042
467	1796	2042
468	1798	2036
469	1800	2030
470	1801	2023
471	1803	2017
472	1805	2012
473	1811	2010
474	1813	2004
475	1814	1997
476	1816	1991
477	1817	1985
478	1819	1979
479	1820	1972
480	1825	1969
481	1827	1963
482	1829	1957
483	1830	1951
484	1832	1945
485	1834	1939
486	1835	1933
487	1839	1930
488	1841	1924
489	1842	1918
490	1844	1912
491	1845	1906
492	1847	1899
493	1848	1893
494	1850	1887
495	1856	1886
496	1858	1881
497	1860	1875
498	1862	1869
499	1863	1863
500	1866	1859
501	1872	1857
502	1875	1853
503	1878	1848
504	1880	1843
505	1882	1838
506	1887	1835
507	1889	1829
508	1891	1824
509	1893	1819
510	1895	1813
511	1897	1808
512	1907	1810
513	1909	1805
514	1919	1807
515	1921	1802
516	1923	1797
517	1925	1791
518	1927	1786
519	1928	1780
520	1935	1779
521	1937	1774
522	1938	1768
523	1940	1762
524	1942	1757
525	1943	1751
526	1949	1749
527	1951	1744
528	1952	1738
529	1954	1733
530	1955	1727
531	1957	1722
532	1959	1716
533	1964	1714
534	1966	1709
535	1967	1703
536	1969	1698
537	1970	1692
538	1972	1687
539	1974	1681
540	1978	1678
541	1980	1673
542	1982	1668
543	1984	1663
544	1986	1658
545	1988	1653
546	1990	1648
547	1994	1645
548	1997	1640
549	1999	1635
550	2000	1630
551	2008	1629
552	2009	1624
553	2011	1619
554	2012	1613
555	2014	1608
556	2015	1603
557	2017	1597
558	2018	1592
559	2022	1589
560	2024	1584
561	2026	1579
562	2027	1573
563	2029	1568
564	2031	1564
565	2033	1559
566	2038	1557
567	2040	1551
568	2042	1546
569	2043	1541
570	2044	1536
571	2046	1531
572	2048	1526
573	2053	1524
574	2055	1519
575	2057	1514
576	2058	1509
577	2060	1504
578	2061	1499
579	2063	1494
580	2068	1491
581	2070	1487
582	2072	1482
583	2074	1477
584	2077	1473
585	2079	1469
586	2083	1465
587	2085	1460
588	2086	1456
589	2088	1451
590	2089	1446
591	2091	1441
592	2092	1436
593	2097	1433
594	2098	1428
595	2100	1423
596	2102	1418
597	2103	1414
598	2105	1409
599	2107	1404
600	2108	1400
601	2110	1395
602	2112	1390
603	2113	1385
604	2115	1381
605	2117	1376
606	2122	1373
607	2123	1369
608	2125	1364
609	2127	1360
610	2129	1355
611	2130	1350
612	2136	1348
613	2138	1344
614	2140	1339
615	2141	1335
616	2143	1330
617	2144	1325
618	2146	1320
619	2150	1317
620	2151	1313
621	2153	1308
622	2155	1304
623	2156	1299
624	2158	1294
625	2159	1290
626	2161	1285
627	2162	1281
628	2166	1277
629	2169	1273
630	2170	1269
631	2172	1264
632	2175	1261
633	2180	1258
634	2182	1254
635	2183	1249
636	2185	1245
637	2186	1240
638	2188	1236
639	2189	1231
640	2195	1229
641	2197	1225
642	2199	1221
643	2201	1217
644	2203	1212
645	2205	1208
646	2212	1207
647	2215	1203
648	2217	1199
649	2219	1194
650	2227	1194
651	2229	1190
652	2232	1186
653	2235	1182
654	2240	1180
655	2242	1175
656	2244	1171
657	2246	1167
658	2248	1163
659	2249	1159
660	2256	1157
661	2258	1153
662	2260	1149
663	2263	1145
664	2265	1141
665	2274	1140
666	2276	1136
667	2278	1132
668	2280	1128
669	2281	1123
670	2285	1120
671	2288	1117
672	2290	1112
673	2291	1108
674	2293	1104
675	2295	1100
676	2296	1095
677	2300	1092
678	2303	1089
679	2305	1084
680	2307	1080
681	2308	1076
682	2310	1072
683	2312	1068
684	2313	1063
685	2315	1060
686	2317	1055
687	2319	1051
688	2320	1047
689	2322	1043
690	2323	1039
691	2325	1034
692	2326	1030
693	2329	1026
694	2330	1022
695	2332	1018
696	2333	1014
697	2335	1010
698	2336	1006
699	2338	1002
700	2339	997
701	2342	994
702	2344	990
703	2345	986
704	2347	982
705	2349	978
706	2351	974
707	2353	970
708	2357	967
709	2360	963
710	2362	960
711	2364	956
712	2367	952
713	2373	950
714	2374	946
715	2376	942
716	2377	938
717	2379	934
718	2380	930
719	2382	926
720	2383	922
721	2389	919
722	2390	915
723	2392	911
724	2393	907
725	2395	904
726	2396	900
727	2398	896
728	2402	893
729	2404	889
730	2406	885
731	2408	881
732	2409	877
733	2411	873
734	2412	869
735	2414	865
736	2417	862
737	2419	858
738	2421	855
739	2422	851
740	2424	847
741	2425	843
742	2427	839
743	2429	836
744	2435	833
745	2436	829
746	2438	825
747	2439	822
748	2441	818
749	2443	814
750	2448	811
751	2450	808
752	2452	804
753	2454	800
754	2456	797
755	2458	793
756	2462	790
757	2464	786
758	2466	783
759	2468	779
760	2469	775
761	2471	771
762	2472	768
763	2474	764
764	2479	761
765	2481	757
766	2484	754
767	2485	750
768	2487	747
769	2488	743
770	2490	739
771	2494	736
772	2496	733
773	2497	729
774	2499	725
775	2500	721
776	2502	718
777	2503	714
778	2505	710
779	2508	707
780	2510	703
781	2512	700
782	2513	696
783	2515	693
784	2517	689
785	2518	685
786	2524	683
787	2526	679
788	2527	676
789	2531	672
790	2533	669
791	2534	665
792	2540	663
793	2542	659
794	2544	656
795	2546	652
796	2549	649
797	2554	646
798	2556	643
799	2557	639
800	2559	635
801	2561	632
802	2562	628
803	2564	625
804	2569	622
805	2571	618
806	2573	615
807	2575	611
808	2576	608
809	2578	604
810	2579	601
811	2585	598
812	2587	595
813	2588	591
814	2590	588
815	2592	584
816	2593	580
817	2595	577
818	2599	574
819	2600	570
820	2602	567
821	2604	563
822	2605	560
823	2607	556
824	2609	553
825	2615	550
826	2617	547
827	2619	544
828	2620	540
829	2622	537
830	2623	533
831	2625	530
832	2635	528
833	2636	524
834	2638	521
835	2640	517
836	2644	515
837	2647	511
838	2649	508
839	2651	504
840	2652	501
841	2654	498
842	2656	494
843	2660	491
844	2662	488
845	2664	484
846	2665	481
847	2667	478
848	2668	474
849	2670	471
850	2672	467
851	2678	465
852	2680	461
853	2681	458
854	2683	455
855	2684	451
856	2686	448
857	2690	445
858	2692	441
859	2693	438
860	2695	435
861	2697	431
862	2698	428
863	2700	425
864	2702	421
865	2706	418
866	2708	415
867	2710	412
868	2712	408
869	2714	405
870	2715	402
871	2717	398
872	2722	396
873	2724	392
874	2726	389
875	2728	386
876	2730	382
877	2733	379
878	2736	376
879	2738	373
880	2743	370
881	2745	367
882	2747	364
883	2749	360
884	2751	357
885	2752	354
886	2757	351
887	2759	348
888	2762	344
889	2765	341
890	2767	338
891	2772	335
892	2775	332
893	2778	329
894	2781	326
895	2786	323
896	2790	320
897	2792	317
898	2794	313
899	2798	310
900	2803	308
901	2805	304
902	2807	301
903	2817	299
904	2820	296
905	2822	292
906	2825	289
907	2826	286
908	2828	283
909	2833	280
910	2837	277
911	2839	273
912	2841	270
913	2844	267
914	2850	264
915	2852	261
916	2853	258
917	2856	255
918	2858	251
919	2859	248
920	2865	245
921	2867	242
922	2869	239
923	2872	236
924	2874	233
925	2879	230
926	2881	226
927	2883	223
928	2885	220
929	2887	217
930	2890	214
931	2894	211
932	2897	208
933	2898	204
934	2900	201
935	2902	198
936	2905	195
937	2912	192
938	2915	189
939	2918	186
940	2920	183
941	2925	180
942	2928	177
943	2930	173
944	2932	170
945	2934	167
946	2936	164
947	2942	161
948	2943	158
949	2945	155
950	2948	151
951	2950	148
952	2955	145
953	2956	142
954	2958	139
955	2961	136
956	2962	133
957	2964	129
958	2966	126
959	2971	123
960	2973	120
961	2974	117
962	2976	114
963	2978	111
964	2980	108
965	2981	104
966	2983	101
967	2987	98
968	2988	95
969	2990	92
970	2992	89
971	2994	86
972	2995	83
973	2997	80
974	3001	76
975	3003	73
976	3004	70
977	3006	67
978	3008	64
979	3009	61
980	3011	58
981	3012	55
982	3016	52
983	3018	49
984	3019	45
985	3021	42
986	3024	39
987	3028	36
988	3032	33
989	3033	30
990	3035	27
991	3038	24
992	3040	21
993	3045	18
994	3047	15
995	3049	12
996	3051	9
997	3053	6
998	3055	3
999	3056	0
